Fiyat,Mahalle,İlan Güncelleme Tarihi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,WC Sayısı
10.500.000TL,Meriç Mahallesi,19 Kasım 2025,Daire,125 m²,140 m²,3+1,4,2.Kat,10.0,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,2,
4.250.000TL,Kızılay Mahallesi,03 Kasım 2025,Daire,48 m²,55 m²,1+1,0 (Yeni),3.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,1,1.0
2.550.000TL,Zafer Mahallesi,22 Kasım 2025,Daire,85 m²,90 m²,2+1,21 Ve Üzeri,Yüksek Giriş,3.0,Isıtma Yok,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
3.300.000TL,Sarnıçköy Mahallesi,12 Kasım 2025,Müstakil Ev,120 m²,256 m²,2+1,21 Ve Üzeri,,2.0,Sobalı,Boş,Krediye Uygun Değil,Müstakil Tapulu,Hayır,,Yok,1,
2.600.000TL,Tuna Mahallesi,25 Kasım 2025,Daire,72 m²,75 m²,2+1,16-20,3.Kat,4.0,Merkezi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Hisseli Tapu,Hayır,,,1,
14.450.000TL,Erzene Mahallesi,30 Ekim 2025,Daire,200 m²,250 m²,3+1,11-15,4.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Yok,3,
,,,,,,,,,,,,,,,,,,
7.500.000TL,Ergene Mahallesi,14 Kasım 2025,Daire,151 m²,175 m²,3+1,21 Ve Üzeri,5.Kat,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,2,
8.149.000TL,Kemalpaşa Mahallesi,15 Kasım 2025,Daire,98 m²,110 m²,3+1,0 (Yeni),Düz Giriş (Zemin),4.0,Yerden Isıtma,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Evet,Boş,Yok,2,
2.700.000TL,Atatürk Mahallesi,03 Kasım 2025,Daire,40 m²,44 m²,1+1,21 Ve Üzeri,3.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Yok,1,
7.200.000TL,Yeşilova Mahallesi,03 Kasım 2025,Daire,97 m²,123 m²,2+1,5-10,13.Kat,14.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,2,
3.350.000TL,Gürpınar Mahallesi,30 Ekim 2025,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,5.Kat,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,1.0
5.000.000TL,Ergene Mahallesi,21 Kasım 2025,Daire,127 m²,140 m²,3+1,21 Ve Üzeri,7.Kat,8.0,Merkezi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,1,
14.800.000TL,Erzene Mahallesi,18 Kasım 2025,Daire,140 m²,160 m²,3+1,16-20,3.Kat,4.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,2,
14.000.000TL,Kızılay Mahallesi,27 Kasım 2025,Daire,215 m²,240 m²,3+2,3,4.Kat,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,3,
4.650.000TL,Kazımdirik Mahallesi,17 Kasım 2025,Daire,90 m²,105 m²,2+1,21 Ve Üzeri,Yüksek Giriş,8.0,Isıtma Yok,Boş,Bilinmiyor,Kat Mülkiyeti,Hayır,,Yok,1,
3.900.000TL,Atatürk Mahallesi,08 Kasım 2025,Daire,50 m²,55 m²,1+1,0 (Yeni),1.Kat,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
6.900.000TL,Kazımdirik Mahallesi,17 Kasım 2025,Daire,44 m²,56 m²,1+1,4,2.Kat,5.0,Merkezi (Pay Ölçer),Boş,Bilinmiyor,Kat Mülkiyeti,Hayır,,Yok,1,
5.500.000TL,Kazımdirik Mahallesi,25 Kasım 2025,Daire,31 m²,55 m²,1+1,0 (Yeni),3.Kat,8.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun Değil,Kat Mülkiyeti,Evet,Boş,Var,1,
3.450.000TL,Atatürk Mahallesi,15 Kasım 2025,Daire,80 m²,85 m²,2+1,16-20,Düz Giriş (Zemin),6.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat İrtifakı,Hayır,,,1,
4.200.000TL,Mevlana Mahallesi,24 Kasım 2025,Daire,40 m²,50 m²,1+1,4,4.Kat,7.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
7.250.000TL,Birlik Mahallesi,18 Kasım 2025,Daire,120 m²,135 m²,3+1,5-10,10.Kat,13.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Müstakil Tapulu,Evet,Boş,Var,2,
3.350.000TL,Rafet Paşa Mahallesi,27 Kasım 2025,Daire,85 m²,90 m²,2+1,5-10,5.Kat,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,1.0
15.000.000TL,Evka 3 Mahallesi,31 Ekim 2025,Daire,160 m²,180 m²,4+1,11-15,3.Kat,4.0,Klimalı,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,,,2,
3.600.000TL,İnönü Mahallesi,28 Kasım 2025,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,Villa Tipi,3.0,Klimalı,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,2,
12.500.000TL,Kazımdirik Mahallesi,07 Kasım 2025,Daire,85 m²,120 m²,2+1,21 Ve Üzeri,3.Kat,12.0,Klimalı,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Var,2,
